id,CUI,from,to,value
d327.u53,C1533734,15,29,administration
d327.u53,C1721214,34,42,PROTELOS
d230.u67,C0030705,4,13,patiënten
d230.u67,C0001779,33,41,leeftijd
d230.u372,C0039231,0,18,Verhoogde hartslag
d230.u372,C0018808,20,30,hartgeruis
d230.u372,C0020649,32,46,lage bloeddruk
d230.u372,C0005839,60,72,bloedtoevoer
d230.u372,C0027061,81,90,hartspier
d109.u697,C2919937,7,33,levert educatief materiaal
d109.u697,C0031831,43,49,artsen
d109.u697,C0332293,84,94,behandelen
d109.u697,C0030705,99,108,patiënten
d109.u697,C1620287,113,122,prasugrel
d264.u644,C1949346,0,6,Neupro
d264.u644,C0991556,18,39,transdermale pleister
d264.u644,C0991556,45,53,pleister
d264.u644,C1963578,54,64,geeft vrij
d264.u644,C1700683,70,80,rotigotine
d349.u235,C0526563,0,7,Renagel
d349.u235,C0718050,15,24,sevelamer
d349.u302,C0029944,31,43,overdosering
d349.u302,C0031831,92,96,arts
d42.u384,C0087111,0,11,Behandeling
d42.u384,C0594372,16,22,Avonex
d42.u384,C1279889,53,58,erger
d42.u384,C0026769,102,104,MS
d42.u508,C0522057,2,16,gevoelloosheid
d42.u508,C0235050,20,41,tinteling van de huid
d262.u402,C0032074,2,6,plan
d262.u402,C0032961|C0549206,10,17,zwanger
d335.u307,C0039225,5,11,tablet
d335.u307,C0073633,25,35,ranolazine
d335.u391,C0036043,135,145,Veiligheid
d335.u391,C3178990,160,177,Farmacovigilantie
d335.u391,C3178990,257,274,farmacovigilantie
d335.u471,C1174784,0,6,Ranexa
d335.u471,C0041755|C0559546|C0877248,11,23,bijwerkingen
d335.u471,C0012833,42,54,duizeligheid
d335.u471,C0344232,65,75,wazig zien
d335.u471,C0577353,94,115,vermogen om te rijden
d335.u471,C0336779,119,140,machines te gebruiken
d377.u565,C1455147,0,9,Dasatinib
d377.u565,C0008904,14,24,clastogeen
d377.u565,C0085080,47,70,Chinese Hamster Ovarium
d377.u565,C0085080,72,75,CHO
d348.u51,C0723012,116,124,Remicade
d348.u431,C0700287,0,9,Rapporten
d348.u431,C0024131|C0024138|C0409974|C0024141,15,20,lupus
d348.u431,C0919715,24,46,lupusachtige syndromen
d348.u455,C0021081,11,28,immunosuppressiva
d348.u856,C0031327,3,18,farmacokinetiek
d348.u856,C0666743,23,33,infliximab
d348.u856,C0001792|C1999167,38,45,ouderen
d348.u856,C0030705,46,55,patiënten
d74.u235,C1267092,27,32,spier
d74.u235,C0026836,18,41,gladde spierontspanning
d74.u235,C0229664|C0005767,58,63,bloed
d74.u235,C0030851|C1280739,71,76,penis
d74.u235,C0040300,77,84,weefsel
d74.u235,C0030847,99,106,erectie
d344.u118,C0001675,74,85,volwassenen
d344.u118,C0008059,96,104,kinderen
d344.u118,C0332293,134,144,behandelen
d344.u118,C0008059,157,165,kinderen
d344.u118,C0971600,170,177,ReFacto
d81.u407,C0039225,3,12,tabletten
d81.u407,C1319688,32,39,blister
d81.u407,C0039225,95,104,tabletten
d103.u257,C0525069,12,21,oplossing
d103.u257,C1828363,41,54,travoprost en
d103.u257,C0087093,73,87,timololmaleaat
d389.u37,C0876173,32,39,Tamiflu
d219.u166,C0235431,0,41,Verhoging van het serum creatininegehalte
d219.u166,C0022660|C1565662,48,63,acute nierfalen
d84.u184,C0087111,0,11,Behandeling
d84.u184,C0232478,22,28,inname
d84.u184,C0455040,44,64,opwekking van braken
d84.u184,C0017134,68,80,maagspoeling
d696.u226,C1278220,17,50,verslechtering van de nierfunctie
d696.u226,C0584668,61,68,gebruik
d696.u226,C0729650,131,142,componenten
d696.u3924,C0014792,28,44,rode bloedcellen
d696.u3924,C0002874,46,64,aplastische anemie
d462.u96,C0439857,57,72,afhankelijkheid
d462.u96,C0030705,77,86,patiënten
d462.u96,C0037537,91,105,natriumoxybaat
d232.u151,C0029944,8,17,overdosis
d232.u151,C0021888,36,54,intraoculaire druk
d232.u151,C0332293,79,88,behandeld
d232.u151,C1320929,135,151,behandelend arts
d101.u51,C0030705,45,54,patiënten
d101.u51,C0221423,75,81,ziekte
d101.u51,C0038351|C1278920,89,93,maag
d101.u51,C0021853|C1318303,97,103,darmen
d101.u51,C0015967,124,130,koorts
d61.u586,C0019588,15,24,histamine
