id,text
d2126935.u1,De kracht van verbeelding.
d13622835.u1,Beloop van elektro-encefalografie voor de diagnose & lokalisatie van hersentumoren.
d10923162.u1,Von Hippel-Lindau ziekte.
d9485962.u1,Benchmarking.
d3217970.u1,Advies van de NRV (Nationale Raad voor Volksgezondheid) en de CvZ (College voor Ziekenhuis Diensten) over geriatrische afdelingen in algemene ziekenhuizen.
d2300232.u1,Chirurgie bij kinderen. De noodzaak van concentratie; een advies van de Gezondheidsraad.
d11819870.u1,Automutilatie.
d3574541.u1,"Klinische-genetische aspecten, vroege diagnose en neurochirurgische behandeling van familiaire intracraniële aneurysma's."
d287879.u1,Bescherming tegen de schadelijke invloed van ultraviolette stralen in de tandheelkunde.
d3824336.u1,Specialisatie in diergeneeskunde van landbouwdieren?
d9036354.u1,Kosteneffectiviteit van griepvaccinatie Nederland.
d12811973.u1,"Intensieve zorg geneeskunde in Nederland, 1997-2001. I. Patiënt populatie en behandelingsresultaat."
d11103260.u1,Indirecte traumatisering van echtgenoten van Nederlandse oorlogsslachtoffers.
d4842683.u1,Radiografische evaluatie van het velofaryngeale mechanisme bij nasale spraak met behulp van de 70 mm camera.
d17874635.u1,Pyelonefritis tijdens de zwangerschap: een bedreiging voor moeder en kind.
d7992305.u1,Immunotherapie van tumoren bij landbouwhuisdieren.
d246627.u1,"Een klinische les over ""de klinische les""."
d2950329.u1,Intermitterende claudicatie.
d2716896.u1,De cel in het levende organisme; over leven en dood.
d2768178.u1,Osteoïd osteoom van de wervelkolom.
d8649533.u1,Alarmerende toename in deptropine vergiftigingen.
d12268700.u1,"Kinderen gelegitimeerd door huwelijk, 1977-1986."
d8121516.u1,Foliumzuur voor alle vrouwen die een kind willen krijgen: een ongepaste aanbeveling.
d7191949.u1,Perforatie van de baarmoeder veroorzaakt door koper-bevattende spiraaltjes.
d7158187.u1,Chirurgische ervaringen met traumatische diafragmatische ruptuur.
d14181264.u1,INFECTIEUZE HEPATITIS: BESMETTING EN VERWORVEN IMMUNITEIT.
d7830823.u1,Prijzen en waarden.
d6064785.u1,Immunologische en genetische aspecten van pernicieuze anemie.
d5688680.u1,Tijdelijke niervergroting bij de pasgeboren baby. Acute nierader trombose.
d7935925.u1,Gebruik van sumatriptan (Imigran) bij een vrouwelijke patiënt met coronaire spasme.
d4889692.u1,Harttransplantatie.
d7477488.u1,De standaard 'Allergische en Hyperreactieve rhinitis' van de Nederlandse Vereniging van Huisartsen; reactie vanuit het oogpunt van huisartsenpraktijk.
d1902691.u1,Relatie met persons die poging tot zelfmoord ondernemen en met hun familieleden. Een cursus voor intensieve zorg verpleegkundigen.
d14261937.u1,EEN PATIËNT MET GRANULOSA CEL KANKER WAARGENOMEN GEDURENDE 16 JAAR.
d5197994.u1,Hoe thalidomide kinderen zichzelf zien.
d4875782.u1,"Ragnar Garnit, Haldan Keffer Hartline, George Wald, winnaars van de Nobelprijs in fysiologie en geneeskunde."
d11982209.u1,Dubbele tanden.
