id,text
d327.u53,Daarom moet de administration van PROTELOS en dergelijke producten minstens twee uur uit elkaar liggen (zie sectie 5.2).
d230.u67,Bij patiënten jonger dan 16 jaar leeftijd.
d230.u372,"Verhoogde hartslag, hartgeruis, lage bloeddruk, verminderde bloedtoevoer naar de hartspier."
d109.u697,De MAH levert educatief materiaal aan alle artsen die betrokken kunnen zijn bij het behandelen van patiënten met prasugrel.
d264.u644,Neupro 4 mg/ 24 u transdermale pleister Elke pleister geeft vrij 4 mg rotigotine per 24 uur.
d349.u235,Renagel 800 mg sevelamer
d349.u302,In het geval van een mogelijke overdosering dient u onmiddellijk contact op te nemen met uw arts.
d42.u384,"Behandeling met Avonex kan helpen te voorkomen dat u erger wordt, hoewel het geen genezing biedt voor MS."
d42.u508,- gevoelloosheid of tinteling van de huid
d262.u402,• plan om zwanger te worden.
d335.u307,Elke tablet bevat 500 mg ranolazine.
d335.u391,"Daarnaast moet een bijgewerkte RMP worden ingediend • Wanneer nieuwe informatie wordt ontvangen die van invloed kan zijn op de huidige Veiligheid Specificatie, Farmacovigilantie Plan of risicobeperkende activiteiten • Binnen 60 dagen nadat een belangrijke (farmacovigilantie of risicobeperking) mijlpaal is bereikt • Op verzoek van de EMEA"
d335.u471,Ranexa kan bijwerkingen veroorzaken zoals duizeligheid (vaak) en wazig zien (zeldzaam) die uw vermogen om te rijden of machines te gebruiken kunnen beïnvloeden.
d377.u565,Dasatinib was clastogeen in vitro voor delende Chinese Hamster Ovarium (CHO) cellen.
d348.u51,De Europese Commissie heeft op 13 augustus 1999 een handelsvergunning geldig in de hele Europese Unie verleend voor Remicade aan Centocor B.V.
d348.u431,Rapporten over lupus en lupusachtige syndromen blijven echter ongebruikelijk.
d348.u455,"Selectieve immunosuppressiva, ATC code:"
d348.u856,De farmacokinetiek van infliximab bij ouderen patiënten is niet bestudeerd.
d74.u235,"Dit resulteert in gladde spierontspanning en instroom van bloed in het penis weefsel, waardoor een erectie wordt geproduceerd."
d344.u118,De behoefte aan een verhoogde dosis in vergelijking met die gebruikt voor volwassenen en oudere kinderen moet worden verwacht bij het behandelen van jongere kinderen met ReFacto AF.
d81.u407,"De tabletten worden geleverd in blister verpakkingen van 14, 28, 30, 50, 56, 60, 90, 98 of 180 tabletten."
d103.u257,1 ml van de oplossing bevat 40 microgram travoprost en 5 mg timolol (als timololmaleaat)
d389.u37,Wat is het risico verbonden aan Tamiflu?
d219.u166,Verhoging van het serum creatininegehalte en/of acute nierfalen zijn waargenomen.
d84.u184,"Behandeling Indien de inname recent is, kan opwekking van braken of maagspoeling overwogen worden."
d696.u226,"In het geval van verslechtering van de nierfunctie, moet het gebruik van Lisonorm worden gestaakt en vervangen door de individuele componenten die adequaat zijn aangepast."
d696.u3924,- verminderde productie van rode bloedcellen (aplastische anemie)
d462.u96,"Hoewel er geen duidelijk bewijs is voor het ontstaan van afhankelijkheid bij patiënten die natriumoxybaat innemen in therapeutische doses, kan deze mogelijkheid niet worden uitgesloten."
d232.u151,"Als een overdosis optreedt, moet de intraoculaire druk worden gecontroleerd en behandeld, indien dit noodzakelijk wordt geacht door de behandelend arts."
d101.u51,"Het gebruik ervan moet worden uitgesteld bij patiënten met een kortdurende ziekte die de maag of darmen aantast, of bij een koorts."
d61.u586,"Mogelijke door histamine bemiddelde symptomen zijn gemeld waaronder meldingen van uitslag, [[[[zwelling van het][C][C0151602]]0240211]] gezicht en/of lippen, jeuk, gevoel van warmte, of ademhalingsproblemen."
d179.u31,"Wanneer de resultaten van alle vier de studies samen werden genomen, was de gemiddelde groeisnelheid 2,8 cm per jaar voor behandeling."
d354.u223,"Longontsteking*, infectie van de lagere luchtwegen, Gordelroos, Herpes Simplex, urineweginfectie, infectie van de bovenste luchtwegen, sinusitis, orale candidiasis, orale schimmelinfectie"
d354.u602,"Uw arts kan uw dosis Revlimid aanpassen of uw behandeling stopzetten op basis van de resultaten van uw bloedtesten en op basis van uw algemene toestand (zie Sectie 2, Wees extra voorzichtig met Revlimid"")."
d321.u167,"Met normaal immunoglobuline voor intraveneuze toediening, kunnen bijwerkingen zoals rillingen, hoofdpijn, koorts, braken, allergische reacties, misselijkheid, gewrichtspijn, lage bloeddruk en matige lage rugpijn soms voorkomen."
d409.u75,"Elke filmomhulde tablet bevat 62,5 mg bosentan (als monohydraat)."
d868.u64,Reactie met bariumhydroxide resulteert in een grotere productie van Verbinding A dan doet de reactie met soda kalk.
d66.u474,Wissel altijd de plaats af waar je injecteert.
d227.u82,"Net als bij alle insulines, moet bij oudere patiënten en patiënten met nier- of leverinsufficiëntie de glucosemonitoring worden geïntensiveerd en de dosering van insuline detemir worden aangepast op een individuele basis."
d227.u556,Levemir mag niet gebruikt worden
d272.u488,1 flacon bevat 10 ml equivalent aan 1000 U.
d18.u23,Welk voordeel heeft Aldurazyme laten zien tijdens de studies?
d110.u11,Percutane coronaire interventie is een operatie die wordt gebruikt om vernauwde kransslagaders (bloedvaten in het hart) te openen.
d100.u191,De farmacokinetiek van doripenem is lineair over een dosisbereik van 500 mg tot 1 g wanneer intraveneus toegediend gedurende 1 of 4 uur.
d347.u117,Een studie onder gezonde vrijwilligers merkte orthostatische hypotensie op geassocieerd met een dosis van 0.64 mg/kg toegediend als een intraveneuze bolus.
d794.u59,"Runderen, Schapen"
d6.u174,Insuline suspensies mogen niet gebruikt worden in insuline infuuspompen.
d380.u33,Patiënten met een gewicht van meer dan 100 kg hadden een betere reactie op de dosis van 90 mg.
d120.u74,Bij patiënten met uitgezaaide colorectale kanker wordt cetuximab gebruikt in combinatie met chemotherapie of als een enkelvoudige agent (zie sectie 5.1).
d395.u26,"De toevoeging van TAXOTERE aan andere antikanker behandelingen resulteerde in significante toenames in responspercentages, ziekteprogressie of overleving bij alle vijf typen kanker (borstkanker, niet-kleincellige longkanker, prostaatkanker, maagadenocarcinoom en hoofd- en nekkanker)."
d351.u33,Retacrit was net zo effectief als EPREX/ ERYPO bij het corrigeren en handhaven van rode bloedceltellingen.
d214.u123,3 Doseringaanpassing voor volwassen patiënten met verminderde nierfunctie
d311.u10,Behandeling gaat vervolgens verder met twee 110 mg capsules (220 mg) eenmaal per dag gedurende 28 tot 35 dagen na een heupvervanging en gedurende 10 dagen na een knievervanging.
d848.u4,Wat is Poulvac FluFend H5N3 RG?
d16.u633,"Patiënten van 4 jaar en ouder niet in staat om te slikken Agenerase capsules: de aanbevolen dosis van Agenerase orale oplossing is 17 mg (1.1 ml)/ kg driemaal per dag, in combinatie met andere antiretrovirale middelen, zonder een totale dagelijkse dosis van 2800 mg te overschrijden (zie sectie 5.1)."
d312.u268,U mag Pramipexole Teva niet innemen als u borstvoeding geeft.
d470.u409,Behandeling met Zeffix kan de hoeveelheid hepatitis B virus in uw lichaam verminderen.
d198.u23,Hoe is Irbesartan BMS bestudeerd?
d458.u475,Wat XERISTAR is en waarvoor het wordt gebruikt 2.
d73.u264,De gebruikelijke dosis voor Cholestagel is 3 tabletten tweemaal daags ingenomen met maaltijden of 6 tabletten per dag met een maaltijd.
d73.u265,Uw arts kan uw dosis verhogen tot 7 tabletten per dag.
d430.u20,Welk voordeel heeft Valdoxan getoond tijdens de studies?
d854.u33,De Europese Commissie heeft op 19.12.2006 een in de hele Europese Unie geldige vergunning voor het in de handel brengen verleend voor ProMeris Duo aan Fort Dodge Animal Health.
d265.u55,NeuroBloc 5000U/ml bevat minder dan 1 mmol sodium per ml.
d265.u333,"De dosis zal gewoonlijk 10.000 Eenheden zijn, maar het kan hoger of lager zijn, afhankelijk van de beslissing van uw arts en uw reactie op eventuele eerdere injecties van NeuroBloc."
d265.u336,Uw arts zal beslissen in welke spieren NeuroBloc geïnjecteerd moet worden en kan een deel van de dosis op verschillende plaatsen in de spieren injecteren.
d121.u438,U wordt geadviseerd om de aanbevelingen voor huid en voetverzorging te volgen die u krijgt van uw arts of verpleegkundige.
d220.u639,"Als de productie van rode bloedcellen is verminderd, kunt u symptomen hebben van vermoeidheid of kortademigheid."
d14.u526,"Aerius 5 mg filmomhulde tabletten zijn verpakt in eenheidsdosis blisters in verpakkingen van 1, 2, 3, 5, 7, 10, 14, 15, 20, 21, 30, 50, 90 of 100 tabletten."
d322.u36,"Andere veelvoorkomende bijwerkingen zijn koorts, anorexia (verlies van eetlust), braken, diarree, prikkelbaarheid, slaperigheid (slaapzucht), huilen (inclusief ongebruikelijk hooggepitcht huilen en aanhoudend huilen) en otitis media (infectie van het middenoor)."
d157.u267,"Bijwerkingen Bijwerkingen gemeld als meer dan een geïsoleerd geval worden hieronder vermeld, op orgaansysteem klasse en op frequentie."
d129.u314,"Bij meervoudige dosering blootstelling nam toe met een accumulatiefactor van 1,3 tot 2,3."
d209.u598,De solution is lichtgeel tot goudkleurig.
d477.u484,Zoledronzuur is een lid van een groep stoffen die bisfosfonaten worden genoemd.
d270.u663,NovoMix 50 is alleen voor gebruik door één persoon.
d406.u78,Bij patiënten met schildklierkanker zijn verschillende gevallen van gestimuleerde tumor groei gemeld tijdens het stopzetten van schildklierhormonen voor diagnostische procedures die zijn toegeschreven aan de geassocieerde langdurige verhoging van schildklierstimulerend hormoon (TSH) niveaus.
d144.u226,Dier voortplanting studies toonden aan dat degarelix onvruchtbaarheid veroorzaakte bij mannelijke dieren.
d31.u241,Leflunomide toont de beste beschermende effecten op diermodellen van auto-immuunziekten wanneer toegediend in de vroege fase van de ziekteprogressie.
d340.u87,Dergelijke omstandigheden moeten worden gecorrigeerd voordat de toediening van Rasilez HCT plaatsvindt.
d287.u253,De volgende ongewenste effecten zijn waargenomen tijdens klinische proeven:
d417.u570,U moet echter rekening houden met de staat van uw gezondheid en de mogelijke bijwerkingen van Trizivir voordat u overweegt te rijden of machines te gebruiken.
d241.u396,Deze medicijnen helpen bij het oplossen van bloedstolsels.
d203.u137,"Als u zwanger bent of vermoedt dat u zwanger bent, moet u dit melden aan uw arts of uw apotheker voordat u Iscover inneemt."
d798.u294,"Dier Gewicht (Honden en Katten) 2,5 kg 5 kg 10 kg 20 kg 40 kg 60 kg"
d244.u101,"Als PTH-niveaus onder de aanbevolen doelbereik dalen bij patiënten die behandeld worden met Mimpara, moet de dosis van Mimpara en/of vitamine D sterolen worden verlaagd of moet de therapie gestopt worden."
d150.u424,"Gebroken botten komen meestal voor bij de heup, wervelkolom, of pols en kunnen niet alleen tot pijn leiden, maar ook tot aanzienlijke problemen zoals een gebogen houding (‘weduwebochel’) en verlies van mobiliteit."
d48.u728,Neem Baraclude zolang uw arts u heeft verteld.
d407.u590,TOVIAZ 4 mg tabletten met verlengde afgifte
d817.u261,"De eenheid is steriel en wordt geleverd in een verzegelde, lichtdichte, aluminiumfolie laminaat zakje, verpakt in een individuele kartonnen doos."
d801.u102,"Het is verstandig om de fluoroquinolonen te reserveren voor de behandeling van klinische aandoeningen die slecht hebben gereageerd, of naar verwachting slecht zullen reageren, op andere klassen van antibiotica."
d96.u265,Een gekwalificeerde en ervaren arts of dokter in de behandeling van kanker zal DepoCyte injecteren in de ruggenmergvloeistof of lumbale zak.
d47.u82,"AZOPT is een sulfonamide inhibitor van carbonzuuranhydrase en wordt, hoewel topisch toegediend, systemisch opgenomen."
