id,text
d327.u53,"Daarom moet er minimaal twee uur tussen toediening van PROTELOS en dergelijke producten zitten (zie rubriek 5.2).

"
d230.u67,"Bij patiënten jonger dan 16 jaar in de leeftijd van leeftijd.

"
d230.u372,"Verhoogde hartslag, hartruis, lage bloeddruk, verminderde bloedtoevoer naar de hartspier.

"
d109.u697,"De vergunninghouder verstrekt educatief materiaall aan alle artsen die mogelijk betrokken zijn bij de behandeling patiënten met prasugrel.

"
d264.u644,"Neupro 4 mg/ 24 uur pleister voor transdermaal gebruik Elke pleister releases 4 mg rotigotine per 24 uur.

"
d349.u235,"Renagel 800 mg sevelamer

"
d349.u302,"In geval van een mogelijke overdosis dient u onmiddellijk contact op te nemen met uw arts.

"
d42.u384,"Behandeling met Avonex kan helpen voorkomen dat u slechter krijgt, hoewel het MS niet geneest.

"
d42.u508,"- gevoelloosheid of tintelingen van de huid

"
d262.u402,"• plan om zwanger te worden.

"
d335.u307,"Elke tablet bevat 500 mg ranolazine.

"
d335.u391,"Bovendien moet een bijgewerkt RMP worden ingediend. • Wanneer er nieuwe informatie wordt ontvangen die van invloed kan zijn op de huidige Veiligheid specificatie, Geneesmiddelenbewaking Plan of risicominimalisatieactiviteiten • Binnen 60 dagen na een belangrijke (pharmacovigilance of risicominimalisatie) mijlpaal wordt bereikt • Op verzoek van het EMEA

"
d335.u471,"Ranexa kan bijwerkingen veroorzaken, zoals duizeligheid (vaak) en wazig zien (soms) die kan van invloed zijn op uw vermogen om te rijden of om machines te gebruiken.

"
d377.u565,"Dasatinib was in vitro clastogeen voor delende cellen van Chinese Hamster Ovarium (CHO).

"
d348.u51,"De Europese Commissie heeft op 13 augustus 1999 een in de hele Europese Unie geldige vergunning voor het in de handel brengen van Remicade verleend aan Centocor BV.

"
d348.u431,"Rapporten van lupus en lupusachtige syndromen blijven echter zeldzaam.

"
d348.u455,"Selectieve immunosuppressiva, ATC-code:

"
d348.u856,"De farmacokinetiek van infliximab bij ouderen patiënten is niet onderzocht.

"
d74.u235,"Dit resulteert in soepele spierle relaxatie en instroom van bloed in de penis weefsels, waardoor een erectie ontstaat.

"
d344.u118,"Er moet rekening worden gehouden met de noodzaak van een hogere dosis ten opzichte van die gebruikt voor volwassenen en oudere kinderen wanneer behandelen jongere kinderen met ReFacto AF.

"
d81.u407,"De tabletten worden geleverd in blister verpakkingen van 14, 28, 30, 50, 56, 60, 90, 98 of 180 tabletten.

"
d103.u257,"1 ml oplossing bevat 40 microgram travoprost en 5 mg timolol (als timololmaleaat)

"
d389.u37,"Wat is het risico dat gepaard gaat met Tamiflu?

"
d219.u166,"Verhoging van de serumcreatininespiegel en/of acuut nierfalen zijn waargenomen.

"
d84.u184,"Behandeling Als inname recent is, kan opwekken van braken of maagspoeling worden overwogen.

"
d696.u226,"In het geval van verslechtering van de nierfunctie moet het gebruik van Lisonorm worden stopgezet en vervangen door de individuele componenten die adequaat zijn aangepast.

"
d696.u3924,"- verminderde productie van rode bloedcellen (aplastische anemie)

"
d462.u96,"Hoewel er geen duidelijk bewijs is voor het optreden van afhankelijkheid bij patiënten die natriumoxybaat in therapeutische doses gebruiken, kan deze mogelijkheid niet worden uitgesloten.

"
d232.u151,"Als er een overdosis optreedt, moet intraoculaire druk worden gecontroleerd en behandeld, indien dit noodzakelijk wordt geacht door de behandelend arts.

"
d101.u51,"Het gebruik ervan moet worden uitgesteld bij patiënten met een kortstondige ziekte die de maag of darm aantast. , of met koorts.

"
d61.u586,"Mogelijke histamine-gemedieerde symptomen zijn gerapporteerd waaronder rapporten van huiduitslag, [[[[zwelling van][ C][C0151602]]0240211]] gezicht en/of lippen, jeuk, gevoel van warmte, of moeite met ademhalen.

"
d179.u31,"Wanneer de resultaten van alle vier studies samen werden genomen, bedroeg de gemiddelde groei vóór behandeling 2,8 cm per jaar.

"
d354.u223,"Longontsteking*, lagere luchtweginfectie, Herpes Zoster, Herpes Simplex, urineweginfectie, infectie van de bovenste luchtwegen, sinusitis, orale candidiasis, orale schimmelinfectie

"
d354.u602,"Uw arts kan uw dosis Revlimid aanpassen of uw behandeling stopzetten op basis van de resultaten van uw bloedonderzoek en op basis van uw algemene toestand (zie rubriek 2, Wees extra voorzichtig met Revlimid”).

"
d321.u167,"Met menselijk normaal immunoglobuline voor intraveneuze toediening, bijwerkingen zoals rillingen, hoofdpijn , koorts, braken, allergische reacties, misselijkheid, artralgie lage bloeddruk en matige lage rugpijn kunnen af en toe voorkomen.

"
d409.u75,"Elke filmomhulde tablet bevat 62,5 mg bosentan (als monohydraat).

"
d868.u64,"De reactie met bariumhydroxide resulteert in een grotere productie van Verbinding A dan de reactie met natronkalk.

"
d66.u474,"Varieer altijd op de plaats waar u injecteert.

"
d227.u82,"Zoals met alle insulines, bij ouderen patiënten en patiënten met nier of leverfunctiestoornis, glucosemonitoring moet worden geïntensiveerd en de dosis insuline detemir moet worden aangepast op basis van individueel.

"
d227.u556,"Levemir mag niet worden gebruikt

"
d272.u488,"1 injectieflacon bevat 10 ml equivalent 1000 E.

"
d18.u23,"Welk voordeel heeft Aldurazyme aangetoond tijdens de studies?

"
d110.u11,"Percutane coronaire interventie is een operatie die wordt gebruikt om vernauwde kransslagaders (bloedvaten in het [[hart] te deblokkeren. ][C0018787|C1281570]]).

"
d100.u191,"De farmacokinetiek van doripenem is lineair over een dosisbereik van 500 mg tot 1 g bij intraveneus toegediend gedurende 1 of 4 uur.

"
d347.u117,"Een studie van gezonde vrijwilligers constateerde orthostatische hypotensie geassocieerd met een dosis van 0,64 mg/kg toegediend als een intraveneuze bolus.

"
d794.u59,"Runder, Schapen

"
d6.u174,"Insuline suspensies mogen niet worden gebruikt in insuline-infusiepompen.

"
d380.u33,"Patiënten met een gewicht boven de 100 kg reageerden beter op de dosis van 90 mg.

"
d120.u74,"Bij patiënten met gemetastaseerde colorectale kanker wordt cetuximab gebruikt in combinatie met chemotherapie of als een enkele  middel (zie paragraaf 5.1).

"
d395.u26,"De toevoeging van TAXOTERE aan andere antikanker behandelingen zorgde voor een significante toename van de responspercentages, ziekteprogressie of de overleving in alle vijf de typen kanker (borstkanker, niet-kleincellige longkanker, prostaatkanker, maagadenocarcinoom en hoofd-halskanker).

"
d351.u33,"Retacrit was even effectief als EPREX/ERYPO bij het corrigeren en behouden van aantal rode bloedcellen.

"
d214.u123,"3 Dosisaanpassing voor volwassenen patiënten met verminderde nierfunctie

"
d311.u10,"Behandeling gaat vervolgens verder met twee capsules van 110 mg (220 mg) eenmaal daags gedurende 28 tot 35 dagen na heupprothese en gedurende 10 dagen na knievervanging.

"
d848.u4,"Wat is Poulvac FluFend H5N3 RG?

"
d16.u633,"Patiënten van 4 jaar en ouder niet in staat om te slikken Agenerase capsules: de aanbevolen dosis van Agenerase drank is 17 mg (1,1 ml)/kg driemaal daags, in combinatie met andere antiretrovirale middelen, zonder een totale dagelijkse dosis van 2800 mg te overschrijden (zie sectie 5.1).

"
d312.u268,"U mag Pramipexol Teva niet gebruiken als u borstvoeding geeft.

"
d470.u409,"Behandeling met Zeffix kan de hoeveelheid hepatitis B-virus in uw lichaam verminderen.

"
d198.u23,"Hoe is Irbesartan BVK onderzocht?

"
d458.u475,"Wat is XERISTAR en waarvoor wordt het gebruikt 2.

"
d73.u264,"De gebruikelijke dosering voor Cholestagel is tweemaal daags 3 tabletten bij de maaltijd, of 6 tabletten per dag bij een maaltijd.

"
d73.u265,"Uw arts kan uw dosis verhogen tot 7 tabletten per dag.

"
d430.u20,"Welk voordeel heeft Valdoxan aangetoond tijdens de studies?

"
d854.u33,"De Europese Commissie heeft op 19.12.2006 een in de hele Europese Unie geldige vergunning voor het in de handel brengen van ProMeris Duo verleend aan Fort Dodge Animal Health.

"
d265.u55,"NeuroBloc 5000E/ ml bevat minder dan 1 mmol natrium per ml.

"
d265.u333,"De dosis zal gewoonlijk 10.000 eenheden zijn, maar deze kan hoger of lager zijn, afhankelijk van de beslissing van uw arts en uw reactie op eerdere injecties van NeuroBloc .

"
d265.u336,"Uw arts zal beslissen in welke spieren NeuroBloc moet worden geïnjecteerd en kan een deel van de dosis op verschillende plaatsen in de [[spieren][C0026845] injecteren. ].

"
d121.u438,"U wordt geadviseerd de aanbevelingen op te volgen voor huid en voetverzorging die u krijgt van uw arts of verpleegkundige.

"
