id,CUI,from,to,value
d2126935.u1,C0032863,3,9,kracht
d2126935.u1,C0020913,14,25,verbeelding
d13622835.u1,C0013819,14,36,elektro-encefalografie
d13622835.u1,C0011900,45,53,diagnose
d13622835.u1,C0006118,73,86,hersentumoren
d10923162.u1,C0019562,0,28,ziekte van Von Hippel-Lindau
d10923162.u1,C0019562,0,28,ziekte van Von Hippel-Lindau
d3217970.u1,C0699943,34,49,Volksgezondheid
d3217970.u1,C0019994,76,86,Ziekenhuis
d3217970.u1,C1999167,102,114,geriatrische
d3217970.u1,C0020008,129,150,algemene ziekenhuizen
d2300232.u1,C0543467,0,9,Chirurgie
d2300232.u1,C0008059,14,22,kinderen
d11819870.u1,C0036601,0,13,Automutilatie
d3574541.u1,C0017399,10,29,genetische aspecten
d3574541.u1,C0596473,31,46,vroege diagnose
d3574541.u1,C0524850,50,79,neurochirurgische behandeling
d3574541.u1,C0015576,84,93,familiaal
d3574541.u1,C0007766,94,119,intracraniale aneurysma's
d287879.u1,C0041625,45,66,ultraviolette stralen
d3824336.u1,C0162318,40,58,landbouwhuisdieren
d9036354.u1,C0042200,24,39,griepvaccinatie
d9036354.u1,C0027778,40,49,Nederland
d12811973.u1,C0085559,0,14,Intensive care
d12811973.u1,C0027778,30,39,Nederland
d12811973.u1,C0030705,55,62,Patiënt
d12811973.u1,C1257890,63,72,populatie
d12811973.u1,C0087111,76,87,behandeling
d11103260.u1,C0162409,29,40,echtgenoten
d11103260.u1,C0013331,45,55,Nederlands
d4842683.u1,C0444708,0,13,Radiografisch
d4842683.u1,C1261322,14,23,evaluatie
d4842683.u1,C0028429,61,67,nasaal
d4842683.u1,C0037817,68,74,spraak
d4842683.u1,C0179533,99,105,camera
d17874635.u1,C0034186,0,13,Pyelonefritis
d17874635.u1,C0032961,22,34,zwangerschap
d17874635.u1,C0026591,56,62,moeder
d17874635.u1,C0008059,66,70,kind
d7992305.u1,C0021083,0,14,Immunotherapie
d7992305.u1,C0027651,19,26,tumoren
d7992305.u1,C0162318,31,49,landbouwhuisdieren
d7992305.u1,C0021083,0,14,Immunotherapie
d7992305.u1,C0027651,19,26,tumoren
d7992305.u1,C0162318,31,49,landbouwhuisdieren
d2950329.u1,C0021775,0,24,Claudicatio intermittens
d2716896.u1,C1269647|C0007634,3,6,cel
d2716896.u1,C0029235,14,31,levende organisme
d2716896.u1,C0011065,47,51,dood
d2768178.u1,C0029441,0,16,Osteoïde osteoom
d2768178.u1,C1280065|C0037949|C1267072,24,35,wervelkolom
d8649533.u1,C0057763,24,34,deptropine
d8649533.u1,C0032343,35,49,vergiftigingen
d12268700.u1,C0008059|C0680063,0,8,Kinderen
d12268700.u1,C0024841,28,36,huwelijk
d8121516.u1,C0016410,0,7,Folzuur
d8121516.u1,C0043210,18,25,vrouwen
d8121516.u1,C0008059,60,64,kind
d8121516.u1,C0150600,80,91,aanbeveling
d7191949.u1,C0042139,0,28,Perforatie van de baarmoeder
d7191949.u1,C0009968,46,51,koper
d7191949.u1,C0021900,61,66,IUD's
d7158187.u1,C0543467,0,10,Operatieve
d7158187.u1,C0340166,26,55,traumatische diafragmaruptuur
d14181264.u1,C0400894,0,21,INFECTIEUZE HEPATITIS
d14181264.u1,C0678209,37,57,VERWORVEN IMMUNITEIT
d14181264.u1,C0400894,0,21,INFECTIEUZE HEPATITIS
d14181264.u1,C0678209,37,57,VERWORVEN IMMUNITEIT
d6064785.u1,C0017399,18,37,genetische aspecten
d6064785.u1,C0002892,42,60,pernicieuze anemie
d5688680.u1,C0542518,11,25,niervergroting
d5688680.u1,C0021289,33,48,pasgeboren baby
d5688680.u1,C0238457,56,79,renale veneuze trombose
d7935925.u1,C0075632,12,23,sumatriptan
d7935925.u1,C0678150,25,32,Imigran
d7935925.u1,C0015780|C0043210,42,47,vrouw
d7935925.u1,C0030705,48,55,patiënt
d7935925.u1,C0010073,60,77,coronaire spasmen
d4889692.u1,C0018823,0,18,Harttransplantatie
d7477488.u1,C2607914,14,25,Allergische
d7477488.u1,C1704221|C0033131|C0017319,88,98,Huisartsen
d7477488.u1,C0015576,138,145,familie
d1902691.u1,C0027361,12,20,personen
d1902691.u1,C0038663,25,54,zelfmoordpoging hebben gedaan
d1902691.u1,C0080103,66,78,familieleden
d1902691.u1,C0586960,96,127,intensive care-verpleegkundigen
d14261937.u1,C0030705,4,11,PATIËNT
d14261937.u1,C1567257,16,35,GRANULOSA CELKANKER
d5197994.u1,C0039736,4,15,thalidomide
d5197994.u1,C0008059|C0680063,16,24,kinderen
d4875782.u1,C0028236,68,78,Nobelprijs
d11982209.u1,C0016873,0,14,Dubbele tanden
d11921942.u1,C0242444,19,32,risicogroepen
d17966325.u1,C0003062,0,4,Dier
d17966325.u1,C0036043,47,57,veiligheid
d1476639.u1,C0032371,0,5,Polio
d1476639.u1,C0080040,9,26,postpoliosyndroom
d13578026.u1,C0242873,30,36,snelle
d13578026.u1,C0242874,40,60,langzame spiervezels
d13578026.u1,C0009208,65,77,kakkerlakken
d15909396.u1,C0011551,11,27,depersonalisatie
d15909396.u1,C0024808|C0678449,43,51,cannabis
d12452130.u1,C0040480,17,26,verdraaid
d12452130.u1,C0004604,27,40,pijnlijke rug
d11836816.u1,C0444708,65,79,radiografische
d7054733.u1,C0007020,0,24,Koolmonoxidevergiftiging
d8065469.u1,C0009566,14,26,complicaties
d8065469.u1,C0019693,31,43,HIV-infectie
d8065469.u1,C0011900|C0430022,45,53,diagnose
d8065469.u1,C0087111,57,65,therapie
d14343965.u1,C0008972,0,9,ONDERZOEK
d14343965.u1,C0037669,36,46,SOMATOTYPE
d14343965.u1,C0035852,53,67,RORSCHACH TEST
d11837060.u1,C0242428,27,39,tevredenheid
d11837060.u1,C0011394,44,54,kunstgebit
d818738.u1,C0086388,0,4,Zorg
d818738.u1,C0086388,0,4,Zorg
d10418080.u1,C1442959|C0600072,0,7,Voeding
d10418080.u1,C0242616|C1265527|C0019944,12,19,paarden
d10418080.u1,C0012238,21,35,spijsvertering
d10418080.u1,C0033684,48,53,eiwit
d10418080.u1,C1261322,54,63,evaluatie
d8160174.u1,C0991568,0,8,Druppels
d8160174.u1,C1281592|C0027530,15,18,nek
d6888594.u1,C0323216,0,15,Tunga penetrans
d6888594.u1,C0040357|C1281589,61,64,toe
d10850105.u1,C0677616,13,33,plastische chirurgie
d10850105.u1,C0027778,37,46,Nederland
d10850105.u1,C0026035,52,66,Microchirurgie
