id,text
d2126935.u1,"De kracht van verbeelding.

"
d13622835.u1,"Betekenis van elektro-encefalografie voor de diagnose en lokalisatie van hersentumoren.

"
d10923162.u1,"ziekte van Von Hippel-Lindau.

"
d9485962.u1,"Benchmarken.

"
d3217970.u1,"Advies van de NRV (Rijksraad voor Volksgezondheid) en het CvZ (College voor Ziekenhuis Diensten) over geriatrische afdelingen in algemene ziekenhuizen.

"
d2300232.u1,"Chirurgie bij kinderen. De behoefte aan concentratie; een advies van de Raad voor de Volksgezondheid.

"
d11819870.u1,"Automutilatie.

"
d3574541.u1,"Klinische-genetische aspecten, vroege diagnose en neurochirurgische behandeling van familiaal intracraniale aneurysma's.

"
d287879.u1,"Bescherming tegen de schadelijke invloed van ultraviolette stralen in de tandheelkunde.

"
d3824336.u1,"Specialisatie in de diergeneeskunde van landbouwhuisdieren?.

"
d9036354.u1,"Kosteneffectiviteit van griepvaccinatie Nederland.

"
d12811973.u1,"Intensive care geneeskunde in Nederland, 1997-2001. I. Patiënt populatie en behandeling resultaat.

"
d11103260.u1,"Indirecte traumatisering van echtgenoten van Nederlands oorlogsslachtoffers.

"
d4842683.u1,"Radiografisch evaluatie van het velofaryngeale mechanisme in nasaal spraak met behulp van de 70 mm camera.

"
d17874635.u1,"Pyelonefritis tijdens zwangerschap: een bedreiging voor moeder en kind.

"
d7992305.u1,"Immunotherapie van tumoren bij landbouwhuisdieren.

"
d246627.u1,"Een klinische les over ""de klinische les"".

"
d2950329.u1,"Claudicatio intermittens.

"
d2716896.u1,"De cel in het levende organisme; over leven en dood.

"
d2768178.u1,"Osteoïde osteoom van de wervelkolom.

"
d8649533.u1,"Alarmerende toename van deptropine vergiftigingen.

"
d12268700.u1,"Kinderen gelegitimeerd door huwelijk, 1977-1986.

"
d8121516.u1,"Folzuur voor alle vrouwen die zwanger willen worden van een kind: een ongepaste aanbeveling.

"
d7191949.u1,"Perforatie van de baarmoeder veroorzaakt door koper-houdende IUD's.

"
d7158187.u1,"Operatieve ervaringen met traumatische diafragmaruptuur.

"
d14181264.u1,"INFECTIEUZE HEPATITIS: BESMETTING EN VERWORVEN IMMUNITEIT.

"
d7830823.u1,"Prijzen en waarden.

"
d6064785.u1,"Immunologische en genetische aspecten van pernicieuze anemie.

"
d5688680.u1,"Tijdelijke niervergroting bij de pasgeboren baby. Acute renale veneuze trombose.

"
d7935925.u1,"Gebruik van sumatriptan (Imigran) bij een vrouw patiënt met coronaire spasmen .

"
d4889692.u1,"Harttransplantatie.

"
d7477488.u1,"De standaard ‘Allergische en Hyperreactieve rhinitis’ van de Nederlandse Vereniging van Huisartsen; reactie vanuit het perspectief van de familie praktijk.

"
d1902691.u1,"Relatie met personen die zelfmoordpoging hebben gedaan en met hun familieleden. Een cursus voor intensive care-verpleegkundigen.

"
d14261937.u1,"EEN PATIËNT MET GRANULOSA CELKANKER GEDURENDE 16 JAAR WORDEN WAARGENOMEN.

"
d5197994.u1,"Hoe thalidomide kinderen zichzelf zien.

"
d4875782.u1,"Ragnar Garnit, Haldan Keffer Hartline, George Wald, winnaars van de Nobelprijs in fysiologie en geneeskunde.

"
d11982209.u1,"Dubbele tanden.

"
d11921942.u1,"Tandgezondheid van risicogroepen in Rotterdam en Amsterdam.

"
d17966325.u1,"Dier welzijnsnormen voor de melkveehouderij en veiligheid regels voor consumentenproducten uit de Europese Unie.

"
d1476639.u1,"Polio en postpoliosyndroom.

"
d13578026.u1,"Histologische verschillen van snelle en langzame spiervezels bij kakkerlakken.

"
d15909396.u1,"Chronische depersonalisatie na gebruik van cannabis.

"
d12452130.u1,"Te jong voor een verdraaid pijnlijke rug.

"
d11836816.u1,"Het effect van expertise op de interpretatie van tandheelkundige radiografische beelden.

"
d7054733.u1,"Koolmonoxidevergiftiging.

"
d8065469.u1,"Neurologische complicaties van HIV-infectie: diagnose en therapie.

"
d14343965.u1,"ONDERZOEK VAN DE RELATIE TUSSEN HET SOMATOTYPE EN DE RORSCHACH TEST.

"
d11837060.u1,"""Prothetische toestand"" en tevredenheid met kunstgebit.

"
d818738.u1,"Zorg is een zaak van iedereen (economische aspecten).

"
d2321238.u1,"Marketing in de veterinaire praktijk; een theoretisch raamwerk.

"
d10418080.u1,"Voeding van paarden: spijsvertering, energie en eiwit evaluatie en voedingsnormen.

"
d8160174.u1,"Druppels in de nek.

"
d6888594.u1,"Tunga penetrans: een tropische verrassing in een Nederlandse toe.

"
d10850105.u1,"Vijftig jaar plastische chirurgie in Nederland. VI. Microchirurgie.

"
d15301391.u1,"Genetisch onderzoek met opgeslagen menselijk weefsel: een coderingsprocedure met optimaal gebruik van informatie en bescherming van de privacy.

"
d6483049.u1,"Adjuvante chemotherapie bij borstcarcinoom.

"
d5332789.u1,"Projectielen in ivoor.

"
d6044047.u1,"De diagnose van cysticercose bij man.

"
d12224478.u1,"Mogelijkheden en beperkingen van genetisch onderzoek; een advies rapport van de Adviesraad Volksgezondheid Onderzoek.

"
d17515182.u1,"Het voordeel van kostprijsbepaling II.

"
d6089008.u1,"Serodiagnose van kinkhoest.

"
d4863777.u1,"75 jaar kinder sterfte, 1892-1967.

"
d14261943.u1,"BIJnier EN INFECTIE.

"
d4569839.u1,"Geneesmiddelencombinaties; haalbaarheid en beperkingen.

"
d13309487.u1,"Dubbele baarmoeder met atypische opening van één helft in de vagina.

"
d1407130.u1,"Kan het risico op atriumfibrilleren als gevolg van longembolie worden geminimaliseerd door toevoeging van een bloedplaatjesaggregatieremmer aan een oraal anticoagulans?.

"
d12448968.u1,"Toename van de resistentie tegen fusidinezuur bij Staphylococcus aureus isolaten van patiënten toegegeven met atopische dermatitis.

"
d1944652.u1,"De 'Phadiatop Paediatric': een nuttige in-vitro test op een atopische immuunrespons bij zuigelingen en jonge kinderen.

"
d295428.u1,"Micro-organismen en parodontale achteruitgang.

"
d11257810.u1,"Operatie voor een recent symptomatische ernstige halsslagaderstenose, aangegeven of niet? Klinische toepassing van 'evidence-based' geneeskunde.

"
d5362037.u1,"Classificatie van blaastumoren en behandeling van oppervlakkige infiltrerende tumoren.

"
d431744.u1,"De prognostische betekenis op lange termijn van complicaties tijdens de herstelfase van acuut hartinfarct.

"
d2933851.u1,"Dagopvang in het Jozef Huis.

"
d14161728.u1,"PSEUDORHEUMATISCH COXITIS.

"
d6923657.u1,"Professionele structuur van verpleging in het buitenland.

"
d6955619.u1,"""Articulitis"" of simpele noodzaak?.

"
d5947216.u1,"Leverschade veroorzaakt door carbamazepine.

"
d14983578.u1,"Voorkomen van langdurige antibioticatherapie door actieve implementatie van overstaprichtlijnen.

"
d6910299.u1,"De betekenis van de spondylodese-methode van Dwyer bij de behandeling van ernstige spinale misvormingen.

"
d6922644.u1,"De ondernemingsraad in openbare healde zorg. Heeft dit instituut nog zin?

"
d3148213.u1,"Standaardisatie en verpleegkundige diagnose.

"
d14293918.u1,"ROTATIO DENTIS.

"
d12092306.u1,"Syndroom van Parinaud als een teken van acute obstructieve hydrocephalus: herstel na acute ventriculostomie.

"
d4487112.u1,"Onderzoek 'Continuïteit van de zorg'.

"
d9173302.u1,"Endoscopischeretroperitoneale adrenalectomie: een chirurgische verbetering.

"
d11534379.u1,"Aneurysma van de V. magna cerebri (ader van Galen), een oorzaak van congestief hartfalen bij vijf neonaten.

"
d10028147.u1,"Wie controleert de tuchtraad?

"
d12838755.u1,"Het dopinggebruik onderzoek bij paarden en de rol van de behandelende dierenarts.

"
d5195259.u1,"Gezondheid, ziekte, ziek-verlof, verzuim, werk. X.

"
d8684500.u1,"Longinfectie veroorzaakt door Coccidioides immitis.

"
d8848063.u1,"Heeft het afvlakken van de schedel blijvende gevolgen voor hersenen ontwikkeling?

"
d17263025.u1,"Onlangs afgestudeerd dierenartsen.

"
d1214916.u1,"Reflux-gastritis.

"
d532318.u1,"Metabolisme van nitromethaqualon.

"
d12291420.u1,"Condoom gebruik onder heteroseksuelen: een vergelijking van de theorie van gepland gedrag, het gezondheidsovertuiging model en bescherming  motivatie theorie.

"
d15717445.u1,"Lijden van het leven?.

"
d9221619.u1,"Jeugdhormonen, realiteit of mythe?.

"
d5664972.u1,"Huidige opvattingen over de werking van digitalis glycosiden op moleculair niveau.

"
d2046796.u1,"Beheer in een aanval van apneu in een pasgeboren baby.

"
d15301394.u1,"Diabetes mellitus, maar welke soort?.
"
