id,CUI,from,to,value
d327.u53,C1533734,40,50,toediening
d327.u53,C1721214,55,63,PROTELOS
d230.u67,C0030705,4,13,patiënten
d230.u67,C0001779,52,60,leeftijd
d230.u372,C0039231,0,18,Verhoogde hartslag
d230.u372,C0018808,20,28,hartruis
d230.u372,C0020649,30,44,lage bloeddruk
d230.u372,C0005839,58,70,bloedtoevoer
d230.u372,C0027061,79,88,hartspier
d109.u697,C2919937,20,49,verstrekt educatief materiaal
d109.u697,C0031831,60,66,artsen
d109.u697,C0332293,99,113,de behandeling
d109.u697,C0030705,114,123,patiënten
d109.u697,C1620287,128,137,prasugrel
d264.u644,C1949346,0,6,Neupro
d264.u644,C0991556,20,54,pleister voor transdermaal gebruik
d264.u644,C0991556,60,68,pleister
d264.u644,C1963578,69,77,releases
d264.u644,C1700683,83,93,rotigotine
d349.u235,C0526563,0,7,Renagel
d349.u235,C0718050,15,24,sevelamer
d349.u302,C0029944,27,36,overdosis
d349.u302,C0031831,85,89,arts
d42.u384,C0087111,0,11,Behandeling
d42.u384,C0594372,16,22,Avonex
d42.u384,C1279889,50,58,slechter
d42.u384,C0026769,78,80,MS
d42.u508,C0522057,2,16,gevoelloosheid
d42.u508,C0235050,20,43,tintelingen van de huid
d262.u402,C0032074,2,6,plan
d262.u402,C0032961|C0549206,10,17,zwanger
d335.u307,C0039225,5,11,tablet
d335.u307,C0073633,25,35,ranolazine
d335.u391,C0036043,138,148,Veiligheid
d335.u391,C3178990,163,185,Geneesmiddelenbewaking
d335.u391,C3178990,264,281,pharmacovigilance
d335.u471,C1174784,0,6,Ranexa
d335.u471,C0041755|C0559546|C0877248,11,23,bijwerkingen
d335.u471,C0012833,43,55,duizeligheid
d335.u471,C0344232,66,76,wazig zien
d335.u471,C0577353,115,136,vermogen om te rijden
d335.u471,C0336779,143,151,machines
d377.u565,C1455147,0,9,Dasatinib
d377.u565,C0008904,23,33,clastogeen
d377.u565,C0085080,58,81,Chinese Hamster Ovarium
d377.u565,C0085080,83,86,CHO
d348.u51,C0723012,130,138,Remicade
d348.u431,C0700287,0,9,Rapporten
d348.u431,C0024131|C0024138|C0409974|C0024141,14,19,lupus
d348.u431,C0919715,23,45,lupusachtige syndromen
d348.u455,C0021081,11,28,immunosuppressiva
d348.u856,C0031327,3,18,farmacokinetiek
d348.u856,C0666743,23,33,infliximab
d348.u856,C0001792|C1999167,38,45,ouderen
d348.u856,C0030705,46,55,patiënten
d74.u235,C1267092,28,33,spier
d74.u235,C0026836,18,43,soepele spierle relaxatie
d74.u235,C0229664|C0005767,60,65,bloed
d74.u235,C0030851|C1280739,72,77,penis
d74.u235,C0040300,78,86,weefsels
d74.u235,C0030847,101,108,erectie
d344.u118,C0001675,105,116,volwassenen
d344.u118,C0008059,127,135,kinderen
d344.u118,C0332293,144,154,behandelen
d344.u118,C0008059,163,171,kinderen
d344.u118,C0971600,176,183,ReFacto
d81.u407,C0039225,3,12,tabletten
d81.u407,C1319688,32,39,blister
d81.u407,C0039225,95,104,tabletten
d103.u257,C0525069,5,14,oplossing
d103.u257,C1828363,34,47,travoprost en
d103.u257,C0087093,66,80,timololmaleaat
d389.u37,C0876173,39,46,Tamiflu
d219.u166,C0235431,0,39,Verhoging van de serumcreatininespiegel
d219.u166,C0022660|C1565662,46,61,acuut nierfalen
d84.u184,C0087111,0,11,Behandeling
d84.u184,C0232478,16,22,inname
d84.u184,C0455040,38,57,opwekken van braken
d84.u184,C0017134,61,73,maagspoeling
d696.u226,C1278220,17,50,verslechtering van de nierfunctie
d696.u226,C0584668,60,67,gebruik
d696.u226,C0729650,131,142,componenten
d696.u3924,C0014792,28,44,rode bloedcellen
d696.u3924,C0002874,46,64,aplastische anemie
d462.u96,C0439857,57,72,afhankelijkheid
